Unnamed: 0,nombre1,nombre2,apellido1,apellido2,genero,edad,id,voto,email,password
0,Demian,Alfonso,Ruiz,Sebastian,Hombre,25,1,3.0,demianruiz1@urcmac.edu.mx,ruizdemian1
1,Demian,Donaji,Zarate,Cirigo,Hombre,30,2,4.0,demianzarate2@urcmac.edu.mx,zaratedemian2
2,Jose,Pablo,Hidalgo,Romero,Hombre,25,3,1.0,josehidalgo3@urcmac.edu.mx,hidalgojose3
3,Hector,Alfonso,Adaya,Cirigo,Hombre,30,4,5.0,hectoradaya4@urcmac.edu.mx,adayahector4
4,Demian,Donaji,Adaya,Sebastian,Hombre,23,5,1.0,demianadaya5@urcmac.edu.mx,adayademian5
5,Hector,,Espinosa,Cirigo,Hombre,23,6,1.0,hectorespinosa6@urcmac.edu.mx,espinosahector6
6,Jose,,Adaya,Romero,Hombre,24,7,1.0,joseadaya7@urcmac.edu.mx,adayajose7
7,Juan ,,Ruiz,Romero,Hombre,24,8,1.0,juan ruiz8@urcmac.edu.mx,ruizjuan 8
8,Demian,,Adaya,Martinez,Hombre,20,9,3.0,demianadaya9@urcmac.edu.mx,adayademian9
9,Hector,,Zarate,Sebastian,Hombre,23,10,1.0,hectorzarate10@urcmac.edu.mx,zaratehector10
10,Demian,Donaji,Espinosa,Cirigo,Hombre,29,11,2.0,demianespinosa11@urcmac.edu.mx,espinosademian11
11,Jose,Pablo,Hidalgo,Martinez,Hombre,28,12,2.0,josehidalgo12@urcmac.edu.mx,hidalgojose12
12,Demian,,Hidalgo,Sebastian,Hombre,20,13,1.0,demianhidalgo13@urcmac.edu.mx,hidalgodemian13
13,Jose,,Adaya,Martinez,Hombre,30,14,2.0,joseadaya14@urcmac.edu.mx,adayajose14
14,Juan ,,Ruiz,Martinez,Hombre,21,15,4.0,juan ruiz15@urcmac.edu.mx,ruizjuan 15
15,Demian,Alfonso,Ruiz,Cirigo,Hombre,26,16,3.0,demianruiz16@urcmac.edu.mx,ruizdemian16
16,Demian,Donaji,Adaya,Cirigo,Hombre,28,17,3.0,demianadaya17@urcmac.edu.mx,adayademian17
17,Demian,Pablo,Zarate,Romero,Hombre,27,18,2.0,demianzarate18@urcmac.edu.mx,zaratedemian18
18,Hector,Rogelio,Ruiz,Sebastian,Hombre,21,19,1.0,hectorruiz19@urcmac.edu.mx,ruizhector19
19,Jose,Donaji,Zarate,Sanchez,Hombre,22,20,2.0,josezarate20@urcmac.edu.mx,zaratejose20
20,Albert,Alfonso,Zarate,Sebastian,Hombre,30,21,5.0,albertzarate21@urcmac.edu.mx,zaratealbert21
21,Jose,Rogelio,Adaya,Sebastian,Hombre,30,22,5.0,joseadaya22@urcmac.edu.mx,adayajose22
22,Hector,,Zarate,Cirigo,Hombre,23,23,1.0,hectorzarate23@urcmac.edu.mx,zaratehector23
23,Demian,Alfonso,Espinosa,Romero,Hombre,30,24,5.0,demianespinosa24@urcmac.edu.mx,espinosademian24
24,Hector,,Adaya,Sebastian,Hombre,23,25,1.0,hectoradaya25@urcmac.edu.mx,adayahector25
25,Hector,Rogelio,Zarate,Romero,Hombre,28,26,5.0,hectorzarate26@urcmac.edu.mx,zaratehector26
26,Albert,Pablo,Ruiz,Sanchez,Hombre,29,27,2.0,albertruiz27@urcmac.edu.mx,ruizalbert27
27,Demian,Pablo,Zarate,Martinez,Hombre,30,28,1.0,demianzarate28@urcmac.edu.mx,zaratedemian28
28,Juan ,Alfonso,Hidalgo,Romero,Hombre,21,29,3.0,juan hidalgo29@urcmac.edu.mx,hidalgojuan 29
29,Jose,Donaji,Espinosa,Sanchez,Hombre,22,30,4.0,joseespinosa30@urcmac.edu.mx,espinosajose30
30,Jose,Rogelio,Hidalgo,Cirigo,Hombre,21,31,3.0,josehidalgo31@urcmac.edu.mx,hidalgojose31
31,Demian,,Hidalgo,Cirigo,Hombre,22,32,4.0,demianhidalgo32@urcmac.edu.mx,hidalgodemian32
32,Juan ,Donaji,Adaya,Romero,Hombre,20,33,3.0,juan adaya33@urcmac.edu.mx,adayajuan 33
33,Jose,Donaji,Espinosa,Cirigo,Hombre,27,34,1.0,joseespinosa34@urcmac.edu.mx,espinosajose34
34,Albert,Rogelio,Ruiz,Sebastian,Hombre,27,35,5.0,albertruiz35@urcmac.edu.mx,ruizalbert35
35,Demian,Rogelio,Espinosa,Sanchez,Hombre,24,36,1.0,demianespinosa36@urcmac.edu.mx,espinosademian36
36,Demian,Alfonso,Espinosa,Martinez,Hombre,26,37,5.0,demianespinosa37@urcmac.edu.mx,espinosademian37
37,Hector,Rogelio,Ruiz,Cirigo,Hombre,24,38,3.0,hectorruiz38@urcmac.edu.mx,ruizhector38
