nombre1,nombre2,apellido1,apellido2,genero,edad,fecha_nacimiento,curp,id,voto,email,password
Albert,,Espinosa,Sebastian,Hombre,25,1998-01-07,ESSA980107HOMBREDFES33O,1,1,albertespinosa1@urcmac.edu.mx,espinosaalbert1
Albert,Donaji,Hidalgo,Cirigo,Hombre,23,2000-01-07,HICA000107HOMBREDFHI86C,2,4,alberthidalgo2@urcmac.edu.mx,hidalgoalbert2
Juan ,Rogelio,Hidalgo,Sanchez,Hombre,25,1998-01-07,HISJ980107HOMBREDFHI79P,3,2,juan hidalgo3@urcmac.edu.mx,hidalgojuan 3
Demian,Donaji,Adaya,Romero,Hombre,25,1998-01-07,ADRD980107HOMBREDFAD21F,4,3,demianadaya4@urcmac.edu.mx,adayademian4
Demian,Pablo,Hidalgo,Romero,Hombre,22,2001-01-06,HIRD010106HOMBREDFHI53P,5,4,demianhidalgo5@urcmac.edu.mx,hidalgodemian5
Hector,Rogelio,Ruiz,Cirigo,Hombre,25,1998-01-07,RUCH980107HOMBREDFRU25O,6,1,hectorruiz6@urcmac.edu.mx,ruizhector6
Jose,Rogelio,Hidalgo,Martinez,Hombre,26,1997-01-07,HIMJ970107HOMBREDFHI73H,7,5,josehidalgo7@urcmac.edu.mx,hidalgojose7
Albert,Alfonso,Ruiz,Cirigo,Hombre,24,1999-01-07,RUCA990107HOMBREDFRU74M,8,3,albertruiz8@urcmac.edu.mx,ruizalbert8
Demian,,Adaya,Romero,Hombre,22,2001-01-06,ADRD010106HOMBREDFAD31J,9,1,demianadaya9@urcmac.edu.mx,adayademian9
Juan ,Alfonso,Zarate,Martinez,Hombre,25,1998-01-07,ZAMJ980107HOMBREDFZA66H,10,2,juan zarate10@urcmac.edu.mx,zaratejuan 10
Juan ,,Adaya,Sanchez,Hombre,25,1998-01-07,ADSJ980107HOMBREDFAD76J,11,1,juan adaya11@urcmac.edu.mx,adayajuan 11
Juan ,Alfonso,Espinosa,Martinez,Hombre,28,1995-01-08,ESMJ950108HOMBREDFES22W,12,1,juan espinosa12@urcmac.edu.mx,espinosajuan 12
Juan ,Alfonso,Adaya,Cirigo,Hombre,21,2002-01-06,ADCJ020106HOMBREDFAD51P,13,4,juan adaya13@urcmac.edu.mx,adayajuan 13
Demian,Alfonso,Ruiz,Sebastian,Hombre,22,2001-01-06,RUSD010106HOMBREDFRU31I,14,5,demianruiz14@urcmac.edu.mx,ruizdemian14
Demian,Alfonso,Adaya,Romero,Hombre,29,1994-01-08,ADRD940108HOMBREDFAD25H,15,4,demianadaya15@urcmac.edu.mx,adayademian15
Hector,Pablo,Zarate,Cirigo,Hombre,30,1993-01-08,ZACH930108HOMBREDFZA34S,16,5,hectorzarate16@urcmac.edu.mx,zaratehector16
Hector,Pablo,Ruiz,Romero,Hombre,29,1994-01-08,RURH940108HOMBREDFRU24Q,17,3,hectorruiz17@urcmac.edu.mx,ruizhector17
Hector,Donaji,Ruiz,Romero,Hombre,21,2002-01-06,RURH020106HOMBREDFRU71G,18,5,hectorruiz18@urcmac.edu.mx,ruizhector18
Jose,,Adaya,Martinez,Hombre,25,1998-01-07,ADMJ980107HOMBREDFAD17Q,19,1,joseadaya19@urcmac.edu.mx,adayajose19
